hour_ending_str,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
01/01/2024 00:00,13.8025,15.32,12.56,14.175,14.02,14.0075,4.952500000000001,15.425
01/01/2024 01:00,14.7375,15.87,13.82,15.012500000000001,14.9025,14.8925,7.785,15.934999999999999
01/01/2024 02:00,15.905000000000001,15.97,15.9725,15.932500000000001,16.0925,16.1075,15.07,19.005
01/01/2024 03:00,16.994999999999997,16.994999999999997,16.994999999999997,16.994999999999997,16.994999999999997,16.994999999999997,16.79,16.994999999999997
01/01/2024 04:00,17.9525,17.9525,17.9525,17.9525,17.9525,17.9525,17.9525,17.9525
01/01/2024 05:00,20.6575,20.6575,20.6575,20.6575,20.6575,20.6575,19.8025,20.6575
01/01/2024 06:00,22.47,22.47,22.47,22.47,22.47,22.47,21.52,22.47
01/01/2024 07:00,26.1525,26.155,26.1625,26.155,26.165,26.1675,26.175,26.365000000000002
01/01/2024 08:00,31.0875,31.0875,31.0875,31.0875,31.0875,31.0875,31.0875,31.0875
01/01/2024 09:00,40.095,40.095,40.095,40.095,40.095,40.095,40.095,40.095
01/01/2024 10:00,22.3275,22.3275,22.3275,22.3275,22.3275,22.3275,22.3275,22.3275
01/01/2024 11:00,22.2275,22.2275,22.2275,22.2275,22.2275,22.2275,22.2275,22.2275
01/01/2024 12:00,21.03,20.95,21.1075,21.009999999999998,21.2875,21.2625,20.98,21.44
01/01/2024 13:00,20.25,20.2075,20.2875,20.240000000000002,20.380000000000003,20.37,20.225,20.455000000000002
01/01/2024 14:00,18.3825,18.3825,18.3825,18.3825,18.3825,18.3825,18.3825,18.3825
01/01/2024 15:00,16.6075,16.6075,16.6075,16.6075,16.6075,16.6075,16.6075,16.6075
01/01/2024 16:00,16.060000000000002,16.060000000000002,16.060000000000002,16.060000000000002,16.060000000000002,16.060000000000002,16.060000000000002,16.060000000000002
01/01/2024 17:00,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
01/01/2024 18:00,54.442499999999995,50.332499999999996,55.5725,54.2725,59.54,59.620000000000005,47.6,67.1675
01/01/2024 19:00,46.56,46.73,47.2275,46.635,47.8225,47.9325,47.792500000000004,67.53
01/01/2024 20:00,36.855000000000004,36.9,37.0275,36.885000000000005,37.182500000000005,37.207499999999996,34.7625,42.235
01/01/2024 21:00,44.542500000000004,44.57,44.65,44.5525,44.7425,44.7575,44.825,47.835
01/01/2024 22:00,40.8575,40.8575,40.8575,40.8575,40.8575,40.8575,40.8575,40.8575
01/01/2024 23:00,26.2775,26.2775,26.2775,26.2775,26.2775,26.2775,26.2775,26.2775
01/01/2025 00:00,20.2875,20.2875,20.2875,20.2875,20.2875,20.2875,20.2875,20.2875
01/01/2025 01:00,18.0775,18.0775,18.0775,18.0775,18.0775,18.0775,18.0775,18.0775
01/01/2025 02:00,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875
01/01/2025 03:00,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095
01/01/2025 04:00,17.302500000000002,17.685,16.98,17.435,17.39,17.39,15.2025,17.7875
01/01/2025 05:00,18.9225,19.36,18.5475,19.07,19.0225,19.02,16.5525,19.4775
01/01/2025 06:00,20.82,21.415,20.3125,21.0225,20.9575,20.9575,17.5825,21.5825
01/01/2025 07:00,20.2925,20.1475,20.5325,20.155,21.39,21.2625,20.36,22.0
01/01/2025 08:00,19.1175,17.9825,20.6125,18.25,24.065,23.4575,19.175,26.384999999999998
01/01/2025 09:00,16.5825,15.950000000000001,17.42,16.0825,19.35,19.0075,16.135,20.75
01/01/2025 10:00,12.4525,12.4525,12.4525,12.4525,12.4525,12.4525,12.4525,12.4525
01/01/2025 11:00,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.61
01/01/2025 12:00,14.0075,13.84,14.0525,14.035,14.175,14.18,13.7,14.4525
01/01/2025 13:00,14.6875,14.045,14.8075,14.78,15.3325,15.3475,13.615,16.365000000000002
01/01/2025 14:00,14.7975,14.595,14.872499999999999,14.84,15.0225,15.0275,14.175,15.335
01/01/2025 15:00,13.0975,13.084999999999999,13.1175,13.0975,13.105,13.105,12.540000000000001,13.0825
01/01/2025 16:00,1.8,1.7975,1.8074999999999999,1.8,1.8025,1.8025,1.735,1.7975
01/01/2025 17:00,21.6175,21.612499999999997,21.619999999999997,21.6175,21.6175,21.6175,21.564999999999998,21.615
01/01/2025 18:00,39.4225,36.7375,46.082499999999996,34.0175,53.985,54.417500000000004,41.307500000000005,66.3425
01/01/2025 19:00,65.4725,62.81,72.22,59.917500000000004,80.18,80.59,67.465,92.575
01/01/2025 20:00,82.6275,81.94999999999999,84.3675,81.22749999999999,86.4075,86.5125,83.115,89.5875
01/01/2025 21:00,52.855000000000004,52.855000000000004,52.855000000000004,52.855000000000004,52.855000000000004,52.855000000000004,52.855000000000004,52.855000000000004
01/01/2025 22:00,28.575,28.66,28.509999999999998,28.61,28.3875,28.38,28.615,30.5075
01/01/2025 23:00,25.92,26.185000000000002,25.735,26.0325,25.375,25.35,26.045,31.7
01/02/2024 00:00,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69
01/02/2024 01:00,21.68,21.68,21.68,21.68,21.68,21.68,21.68,21.68
01/02/2024 02:00,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
01/02/2024 03:00,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29
01/02/2024 04:00,19.7075,19.7075,19.7075,19.7075,19.7075,19.7075,19.7075,19.7075
01/02/2024 05:00,18.57,18.57,18.57,18.57,18.57,18.57,18.57,18.57
01/02/2024 06:00,20.8725,20.9,20.985,20.8675,21.085,21.1075,21.195,24.445
01/02/2024 07:00,35.815,35.9,36.1325,35.8025,36.415,36.4675,36.71,45.655
01/02/2024 08:00,44.9525,45.1725,47.1,45.315,49.0525,49.2625,48.3475,79.295
01/02/2024 09:00,39.755,40.0725,40.989999999999995,39.6525,42.0725,42.2775,43.295,77.9775
01/02/2024 10:00,50.4525,50.0125,50.582499999999996,50.397499999999994,51.0125,51.019999999999996,50.1125,51.832499999999996
01/02/2024 11:00,32.3925,30.689999999999998,32.8975,32.185,34.5625,34.59,28.9325,37.7375
01/02/2024 12:00,23.555,23.555,23.555,23.555,23.555,23.555,21.4725,23.555
01/02/2024 13:00,22.509999999999998,22.509999999999998,22.509999999999998,22.509999999999998,22.509999999999998,22.509999999999998,20.2075,22.509999999999998
01/02/2024 14:00,24.96,24.96,24.96,24.96,24.96,24.96,21.4175,24.96
01/02/2024 15:00,26.259999999999998,26.259999999999998,26.259999999999998,26.259999999999998,26.259999999999998,26.259999999999998,19.177500000000002,26.259999999999998
01/02/2024 16:00,27.505,27.505,27.505,27.505,27.505,27.505,18.0175,27.505
01/02/2024 17:00,33.69,33.69,33.69,33.69,33.69,33.69,22.2275,33.69
01/02/2024 18:00,54.667500000000004,52.2575,54.5775,54.6975,60.0325,60.0975,34.7975,68.945
01/02/2024 19:00,71.7675,72.14,72.47749999999999,71.7475,73.43,73.58500000000001,70.225,98.89
01/02/2024 20:00,49.185,49.254999999999995,51.0125,49.095,52.87,53.177499999999995,53.475,100.69
01/02/2024 21:00,42.0025,36.8375,45.787499999999994,41.355000000000004,54.6125,55.1875,39.875,137.86
01/02/2024 22:00,34.7825,29.3375,39.52,34.05,48.4925,49.07,34.965,124.685
01/02/2024 23:00,21.8525,21.7475,24.872500000000002,21.5825,28.814999999999998,29.375,27.6575,118.995
01/02/2025 00:00,20.962500000000002,21.067500000000003,20.89,21.0025,20.7425,20.7325,21.0275,23.265
01/02/2025 01:00,19.8525,19.869999999999997,19.8425,19.8625,19.82,19.82,19.8675,20.2175
01/02/2025 02:00,18.9875,18.9875,18.985,18.9875,18.9825,18.9825,18.9875,18.9875
01/02/2025 03:00,18.927500000000002,18.927500000000002,18.92,18.927500000000002,18.9075,18.905,18.927500000000002,18.96
01/02/2025 04:00,19.2975,19.3,19.2875,19.2975,19.27,19.27,19.2975,19.3675
01/02/2025 05:00,20.33,20.33,20.33,20.33,20.310000000000002,20.310000000000002,20.33,20.37
01/02/2025 06:00,21.1275,21.1275,21.1225,21.1325,21.1,21.1,21.2275,21.16
01/02/2025 07:00,24.552500000000002,24.555,24.552500000000002,24.5625,24.53,24.525,24.66,24.6
01/02/2025 08:00,23.9225,23.9325,23.9225,24.035,23.9025,23.8975,26.212500000000002,23.97
01/02/2025 09:00,21.7175,21.72,21.7175,21.8475,21.7075,21.705,24.095,21.7375
01/02/2025 10:00,20.8925,22.3275,20.835,21.3075,19.86,19.8475,24.67,22.5175
01/02/2025 11:00,23.0275,23.28,23.1525,22.975,23.095,23.1025,24.605,23.88
01/02/2025 12:00,22.9425,22.9425,23.052500000000002,22.7825,23.155,23.1575,22.93,23.2675
01/02/2025 13:00,23.61,23.61,23.61,23.61,23.61,23.61,23.61,23.61
01/02/2025 14:00,27.575,27.575,27.575,27.575,27.575,27.575,27.575,27.575
01/02/2025 15:00,27.005,27.005,27.005,27.005,27.005,27.005,27.005,27.005
01/02/2025 16:00,24.3925,24.3925,24.3925,24.3925,24.3925,24.3925,24.3925,24.3925
01/02/2025 17:00,27.455000000000002,27.455000000000002,27.455000000000002,27.455000000000002,27.455000000000002,27.455000000000002,27.455000000000002,27.455000000000002
01/02/2025 18:00,43.39,44.185,43.7375,43.855000000000004,43.5775,43.6475,45.0775,53.56
01/02/2025 19:00,41.45,43.287499999999994,42.332499999999996,42.5575,42.052499999999995,42.225,45.59,67.19749999999999
01/02/2025 20:00,40.2875,42.445,41.415,41.762499999999996,41.1825,41.4025,45.43,73.1175
01/02/2025 21:00,34.685,37.215,35.1425,36.5025,33.9075,34.05,39.475,52.41
01/02/2025 22:00,27.3425,33.105000000000004,27.6,30.37,24.035,24.165,37.1375,50.9475
01/02/2025 23:00,25.29,30.6225,25.55,27.6875,22.27,22.3875,34.525000000000006,47.8575
01/03/2024 00:00,21.515,19.622500000000002,23.6925,21.107499999999998,28.505,28.9,21.35,89.07249999999999
01/03/2024 01:00,21.8325,23.2675,22.552500000000002,21.82,25.7325,26.049999999999997,19.002499999999998,81.1225
01/03/2024 02:00,21.295,23.615000000000002,21.53,21.48,24.925,25.2375,16.2525,81.1
01/03/2024 03:00,20.6575,23.0375,20.845,20.8975,24.295,24.6025,15.0575,80.52250000000001
01/03/2024 04:00,18.4125,18.9575,19.885,18.285,21.502499999999998,21.8,16.9575,71.53
01/03/2024 05:00,18.572499999999998,19.08,20.7675,18.392500000000002,22.7475,23.155,22.36,90.42999999999999
01/03/2024 06:00,19.64,20.055,21.4425,19.4775,23.065,23.4,24.9575,78.4175
01/03/2024 07:00,22.235,23.485,24.185000000000002,22.08,27.0625,27.525,26.0975,103.29249999999999
01/03/2024 08:00,26.98,28.927500000000002,28.2825,27.082500000000003,31.78,32.2225,26.575,106.0675
01/03/2024 09:00,67.73,78.5775,60.29,68.9925,66.80499999999999,66.7,40.245000000000005,71.98
